Year,Area,Cancer Type,Age-Adjusted Rate,Case Count,Population
2005,Iowa,All Types of Cancer,489,16503,2964454
2005,Kansas,All Types of Cancer,470,13453,2745299
2005,Kentucky,All Types of Cancer,518.9,22810,4182742
2005,Louisiana,All Types of Cancer,482.6,21145,4411396
2005,Maine,All Types of Cancer,536.2,8339,1318787
2005,Maryland,All Types of Cancer,465.5,25999,5592379
2005,Massachusetts,All Types of Cancer,517.3,35943,6403290
2005,Michigan,All Types of Cancer,505.1,52877,10051137
2005,Minnesota,All Types of Cancer,476.2,24646,5119598
2005,Mississippi,All Types of Cancer,471.4,13726,2876229
2005,Missouri,All Types of Cancer,492.4,30722,5790300
2005,Montana,All Types of Cancer,495.2,5256,940102
2005,Nebraska,All Types of Cancer,486,9050,1761497
2005,Nevada,All Types of Cancer,453.2,10701,2432143
2005,New Hampshire,All Types of Cancer,532.5,7260,1298492
2005,New Jersey,All Types of Cancer,512.5,47249,8651974
2005,New Mexico,All Types of Cancer,421.9,8302,1932274
2005,New York,All Types of Cancer,501.5,102051,19132610
2005,North Carolina,All Types of Cancer,493.4,44062,8705407
2005,North Dakota,All Types of Cancer,481.1,3486,646089
2005,Ohio,All Types of Cancer,486.5,60259,11463320
2005,Oklahoma,All Types of Cancer,475.8,17908,3548597
2005,Oregon,All Types of Cancer,478.8,18729,3613202
2005,Pennsylvania,All Types of Cancer,505.2,73981,12449990
2005,Puerto Rico,All Types of Cancer,321.8,12457,3821362
2005,Rhode Island,All Types of Cancer,511.3,6032,1067916
2005,South Carolina,All Types of Cancer,492.6,22038,4270150
2005,South Dakota,All Types of Cancer,464.1,3956,775493
2005,Tennessee,All Types of Cancer,481.2,30350,5991057
2005,Texas,All Types of Cancer,466.2,92795,22773020
2005,United States,All Types of Cancer,480.8,1459673,295516599
2005,Utah,All Types of Cancer,420.9,7943,2457719
2005,Vermont,All Types of Cancer,502.8,3471,621215
2005,Virginia,All Types of Cancer,459.9,34657,7577105
2005,Washington,All Types of Cancer,505.7,31491,6257305
2005,West Virginia,All Types of Cancer,504.7,11145,1820492
2005,Wisconsin,All Types of Cancer,475.3,28032,5546166
2005,Wyoming,All Types of Cancer,428.6,2301,514157
2006,Alabama,All Types of Cancer,465.7,23401,4628981
2006,Alaska,All Types of Cancer,489.5,2516,675302
2006,Arizona,All Types of Cancer,425.5,26566,6029141
2006,Arkansas,All Types of Cancer,462.5,14455,2821761
2006,California,All Types of Cancer,447.9,150259,36021202
2006,Colorado,All Types of Cancer,440.8,19310,4720423
2006,Connecticut,All Types of Cancer,527.3,20639,3517460
2006,Delaware,All Types of Cancer,541.9,5100,859268
2006,District of Columbia,All Types of Cancer,493.3,2779,570681
2006,Florida,All Types of Cancer,483.5,108634,18166990
2006,Georgia,All Types of Cancer,476.4,39466,9155813
2006,Hawaii,All Types of Cancer,428.6,6213,1309731
2006,Idaho,All Types of Cancer,474.4,6787,1468669
2006,Illinois,All Types of Cancer,501.5,63957,12643955
2006,Indiana,All Types of Cancer,493.1,32224,6332669
2006,Iowa,All Types of Cancer,492.5,16819,2982644
2006,Kansas,All Types of Cancer,474.9,13775,2762931
2006,Kentucky,All Types of Cancer,534.6,23998,4219239
2006,Louisiana,All Types of Cancer,495.8,21666,4302665
2006,Maine,All Types of Cancer,546.6,8660,1323619
2006,Maryland,All Types of Cancer,460.7,26154,5627367
2006,Massachusetts,All Types of Cancer,530.5,37155,6410084
2006,Michigan,All Types of Cancer,505.1,53597,10036081
2006,Minnesota,All Types of Cancer,483.9,25540,5163555
2006,Mississippi,All Types of Cancer,482.3,14324,2904978
2006,Missouri,All Types of Cancer,487.7,30963,5842704
2006,Montana,All Types of Cancer,486.8,5284,952692
2006,Nebraska,All Types of Cancer,488.6,9223,1772693
2006,Nevada,All Types of Cancer,468.2,11382,2522658
2006,New Hampshire,All Types of Cancer,521.4,7309,1308389
2006,New Jersey,All Types of Cancer,525.2,48884,8661679
2006,New Mexico,All Types of Cancer,418.5,8529,1962137
2006,New York,All Types of Cancer,513,105037,19104631
2006,North Carolina,All Types of Cancer,491,45411,8917270
2006,North Dakota,All Types of Cancer,478.6,3518,649422
2006,Ohio,All Types of Cancer,485.4,60898,11481213
2006,Oklahoma,All Types of Cancer,495.5,18992,3594090
2006,Oregon,All Types of Cancer,476.1,19157,3670883
2006,Pennsylvania,All Types of Cancer,513.9,76064,12510809
2006,Puerto Rico,All Types of Cancer,323.7,12781,3805214
2006,Rhode Island,All Types of Cancer,532,6332,1063096
2006,South Carolina,All Types of Cancer,487.7,22646,4357847
2006,South Dakota,All Types of Cancer,446.4,3882,783033
2006,Tennessee,All Types of Cancer,481.2,31160,6088766
2006,Texas,All Types of Cancer,459.6,94796,23359580
2006,United States,All Types of Cancer,483.7,1495655,298379912
2006,Utah,All Types of Cancer,425.3,8348,2525507
2006,Vermont,All Types of Cancer,530.1,3725,622892
2006,Virginia,All Types of Cancer,460,35442,7673725
2006,Washington,All Types of Cancer,498.6,31954,6370753
2006,West Virginia,All Types of Cancer,506.9,11334,1827912
2006,Wisconsin,All Types of Cancer,483,28912,5577655
2006,Wyoming,All Types of Cancer,454.9,2479,522667
2007,Alabama,All Types of Cancer,474.2,24255,4672840
2007,Alaska,All Types of Cancer,477.9,2551,680300
2007,Arizona,All Types of Cancer,427.7,27571,6167681
2007,Arkansas,All Types of Cancer,471.2,14958,2848650
2007,California,All Types of Cancer,457.7,156831,36250311
2007,Colorado,All Types of Cancer,458.1,20753,4803868
2007,Connecticut,All Types of Cancer,522,20717,3527270
2007,Delaware,All Types of Cancer,532.8,5178,871749
2007,District of Columbia,All Types of Cancer,530,3009,574404
2007,Florida,All Types of Cancer,486.2,111312,18367842
2007,Georgia,All Types of Cancer,493.7,42314,9349988
2007,Hawaii,All Types of Cancer,435.6,6427,1315675
2007,Idaho,All Types of Cancer,486.1,7199,1505105
2007,Illinois,All Types of Cancer,503.4,65192,12695866
2007,Indiana,All Types of Cancer,488.3,32488,6379599
2007,Iowa,All Types of Cancer,489,16897,2999212
2007,Kansas,All Types of Cancer,491.5,14468,2783785
2007,Kentucky,All Types of Cancer,536.2,24579,4256672
2007,Louisiana,All Types of Cancer,504,22560,4375581
2007,Maine,All Types of Cancer,529.5,8571,1327040
2007,Maryland,All Types of Cancer,484.7,28052,5653408
2007,Massachusetts,All Types of Cancer,524,37252,6431559
2007,Michigan,All Types of Cancer,517.5,55880,10001284
2007,Minnesota,All Types of Cancer,497.9,26876,5207203
2007,Mississippi,All Types of Cancer,497.2,15071,2928350
2007,Missouri,All Types of Cancer,485.5,31361,5887612
2007,Montana,All Types of Cancer,481,5408,964706
2007,Nebraska,All Types of Cancer,498.1,9540,1783440
2007,Nevada,All Types of Cancer,447.3,11343,2601072
2007,New Hampshire,All Types of Cancer,520.1,7483,1312540
2007,New Jersey,All Types of Cancer,525.8,49577,8677885
2007,New Mexico,All Types of Cancer,421.7,8831,1990070
2007,New York,All Types of Cancer,515.5,106897,19132335
2007,North Carolina,All Types of Cancer,495.5,47393,9118037
